Account Name,Account ID,CSM Name,Account Tier,Projected Deal Value,Months Active,"Website with Elements, Onetime #","Website with Elements, Recurring #","Website without Elements, One-time #","Website without Elements, Recurring #","Campaign Pages, One-time #","Campaign Pages, Recurring #","P2P, One-time #","P2P, Recurring #","Virtual Terminal, One-time #","Virtual Terminal, Recurring #","API, One-time #","API, Recurring #","Recurring Migrations, #","Totals, One-time #","Totals, Recurring #","Website with Elements, One-time %","Website with Elements, Recurring %","Website without Elements, One-time %","Website without Elements, Recurring %","Campaign Pages, One-time %","Campaign Pages, Recurring %","P2P, One-time %","P2P, Recurring %","Total, One-time %","Total, Recurring %","Employer Name Filled, Donors %","USED Suggested Amount, Donations %","INCREASED Suggested Amount, Donations %","DECREASED Suggested Amount, Donations %","HAD NO Suggested Amount, Donations %",Total Donations Volume $
Mission Aviation Fellowship,ABLRVZQV,Tara Broughel,Tier 1 ($100K+),"$99,000",11,"$307,894","$2,647","$258,514","$4,535","$198,232","$3,061",$0,$0,$0,$0,$0,$0,$0,"$764,639","$10,244",99.1%,0.9%,98.3%,1.7%,98.5%,1.5%,,,98.7%,1.3%,0.0%,10.8%,36.3%,52.8%,0.1%,"$774,883"
Thirdmill,AMDMHCAZ,Heloise Rangel,Tier 2 ($50K–$100K),,24,"$181,452",$415,"$225,077","$64,829","$10,430",$821,$0,$0,"$16,220","$17,167",$0,$0,"$256,981","$433,179","$340,211",99.8%,0.2%,77.6%,22.4%,92.7%,7.3%,,,56.0%,44.0%,0.0%,29.7%,22.0%,30.1%,18.3%,"$773,390"
Auckland City Mission,AUDDCMDQ,Luisa Arias,,,15,"$530,684","$48,576","$132,955","$11,227","$41,729","$8,185",$0,$0,$0,$0,$0,$0,$0,"$705,368","$67,989",91.6%,8.4%,92.2%,7.8%,83.6%,16.4%,,,91.2%,8.8%,0.0%,34.1%,25.6%,39.4%,0.9%,"$773,357"
NDW Ministries,AALQSFNM,Heloise Rangel,Tier 6 (<$5K),,25,"$298,367","$185,817","$136,959","$58,803","$71,625","$6,220",$0,$0,$0,$0,$0,$0,"$14,268","$506,950","$265,108",61.6%,38.4%,70.0%,30.0%,92.0%,8.0%,,,65.7%,34.3%,0.0%,47.6%,17.9%,33.6%,0.9%,"$772,059"
Ally Global Foundation,AMYGFMCT,Flavia Castellano,Tier 3 ($20K–$50K),,25,"$356,486","$141,290","$27,716","$12,631",$249,$0,"$19,793",$526,"$6,208","$4,832",$0,$0,"$200,758","$410,451","$360,038",71.6%,28.4%,68.7%,31.3%,100.0%,0.0%,97.4%,2.6%,53.3%,46.7%,5.3%,49.2%,19.9%,30.4%,0.6%,"$770,488"
Cool Earth,ATAURXLS,Oscar Gomez,Tier 3 ($20K–$50K),,25,"$156,581","$49,368","$199,257","$143,530",$997,"$3,246",$0,$0,$0,$0,$0,$0,"$216,860","$356,835","$413,004",76.0%,24.0%,58.1%,41.9%,23.5%,76.5%,,,46.4%,53.6%,0.0%,38.6%,17.0%,44.0%,0.4%,"$769,839"
Ronald McDonald House Chicagoland & Northwest Indiana,AZYAECXE,Natalia Zampieri,Tier 3 ($20K–$50K),"$30,000",25,"$144,790","$31,020","$127,678","$5,738","$427,098","$15,271","$13,586",$163,$0,$0,$0,$0,$0,"$713,152","$52,192",82.4%,17.6%,95.7%,4.3%,96.5%,3.5%,98.8%,1.2%,93.2%,6.8%,10.2%,14.4%,36.1%,49.2%,0.4%,"$765,344"
Schwarzman Animal Medical Center,AUBMEPSR,Flavia Castellano,Tier 2 ($50K–$100K),"$24,000",25,"$232,665","$11,118","$432,435","$39,172","$28,599",$666,$0,$0,$0,"$1,751",$0,$0,"$13,680","$693,699","$66,388",95.4%,4.6%,91.7%,8.3%,97.7%,2.3%,,,91.3%,8.7%,6.4%,12.7%,36.8%,50.5%,0.0%,"$760,087"
The Colorado Sun,AJJKPHZE,Luisa Arias,,,6,"$15,778","$48,031","$30,049","$12,595","$44,573","$7,870",$0,$0,$0,$0,$0,$0,"$599,254","$90,400","$667,750",24.7%,75.3%,70.5%,29.5%,85.0%,15.0%,,,11.9%,88.1%,0.0%,30.4%,13.1%,56.5%,0.0%,"$758,150"
Noor Relief Fund,APDZDFNF,Flavia Castellano,Tier 3 ($20K–$50K),"$20,000",25,"$125,970","$497,214","$34,983","$44,063",$0,$0,"$15,228",$270,"$20,176","$18,548",$0,$0,$0,"$196,356","$560,095",20.2%,79.8%,44.3%,55.7%,,,98.3%,1.7%,26.0%,74.0%,0.1%,38.8%,17.7%,39.2%,4.3%,"$756,452"
Arthritis Society Canada,AUSMBFYM,Luisa Arias,Tier 4 ($10K–$20K),"$14,000",25,"$255,293","$25,374","$289,317","$66,840","$105,283","$4,438","$9,485",$0,$0,$0,$0,$0,$0,"$659,378","$96,652",91.0%,9.0%,81.2%,18.8%,96.0%,4.0%,100.0%,0.0%,87.2%,12.8%,3.5%,46.2%,11.3%,42.3%,0.2%,"$756,030"
The Brooke Hospital for Animals,AURFBTHH,Emilie Poignet,Tier 3 ($20K–$50K),"$50,000",10,"$509,043","$102,270","$117,517","$12,428",$0,$0,$0,$0,$672,$89,$0,$0,$0,"$627,232","$114,787",83.3%,16.7%,90.4%,9.6%,,,,,84.5%,15.5%,0.0%,30.0%,16.3%,53.1%,0.6%,"$742,019"
Boston Medical Center,APEULPPQ,Natalia Zampieri,Tier 4 ($10K–$20K),"$23,400",19,"$136,629","$1,865","$497,767","$30,651","$36,585","$7,573","$24,026",$344,$0,$0,$0,$0,$0,"$695,008","$40,434",98.7%,1.3%,94.2%,5.8%,82.8%,17.2%,98.6%,1.4%,94.5%,5.5%,21.5%,8.9%,28.9%,62.1%,0.1%,"$735,442"
IJM Canada,AWSQNRSZ,Stephanie Barrett,Tier 2 ($50K–$100K),"$50,000",7,"$314,866","$1,651","$94,695","$4,211","$294,318","$18,998",$0,$0,"$2,235",$0,$0,$0,"$3,548","$706,115","$28,408",99.5%,0.5%,95.7%,4.3%,93.9%,6.1%,,,96.1%,3.9%,7.2%,5.4%,42.7%,51.8%,0.1%,"$734,522"
Show Mercy International,AZBYTUWJ,Oscar Gomez,,,15,"$104,804","$43,158","$56,511","$23,161","$48,589","$1,117","$12,712","$8,231","$25,777","$8,560",$0,$0,"$401,706","$248,393","$485,932",70.8%,29.2%,70.9%,29.1%,97.8%,2.2%,60.7%,39.3%,33.8%,66.2%,0.0%,27.2%,32.8%,39.5%,0.5%,"$734,326"
McGill University Health Centre Foundation,AGGSXDXR,Luisa Arias,Tier 3 ($20K–$50K),,25,"$170,868","$21,694","$489,025","$38,629",$0,$0,$98,"$1,768",$421,"$7,174",$0,$0,$0,"$660,412","$69,265",88.7%,11.3%,92.7%,7.3%,,,5.2%,94.8%,90.5%,9.5%,0.0%,15.6%,30.8%,53.4%,0.2%,"$729,676"
Oakville Hospital Foundation,AZLSLSVS,Emilie Poignet,Tier 3 ($20K–$50K),"$23,000",23,"$309,420","$40,363","$203,225","$9,893","$42,220","$59,872","$14,436","$1,815",$0,"$2,669",$0,$0,"$44,123","$569,301","$158,735",88.5%,11.5%,95.4%,4.6%,41.4%,58.6%,88.8%,11.2%,78.2%,21.8%,0.0%,12.2%,33.6%,54.1%,0.2%,"$728,036"
PRAISE 106.5 Canada,AAYTZXLU,,,,20,"$4,465",$0,"$1,322",$38,"$339,684","$50,879",$0,$0,"$10,063","$2,297",$0,$0,"$319,103","$355,534","$372,317",100.0%,0.0%,97.2%,2.8%,87.0%,13.0%,,,48.8%,51.2%,0.0%,62.5%,20.8%,16.7%,0.0%,"$727,851"
Jewish News Service,AMMBDGWA,Luisa Arias,Tier 4 ($10K–$20K),,21,"$101,589","$31,969","$48,663","$17,133","$402,870","$36,739",$0,$0,$0,$0,$0,$0,"$85,758","$553,121","$171,599",76.1%,23.9%,74.0%,26.0%,91.6%,8.4%,,,76.3%,23.7%,0.0%,86.2%,6.6%,5.5%,1.7%,"$724,719"
Rammun Foundation,AZVYKWAW,Natalia Zampieri,,,10,"$481,221","$68,853","$132,233","$17,973","$6,823",$357,"$11,871",$107,$0,$0,$0,$0,"$1,471","$632,148","$88,761",87.5%,12.5%,88.0%,12.0%,95.0%,5.0%,99.1%,0.9%,87.7%,12.3%,0.0%,31.9%,20.3%,46.8%,1.0%,"$720,909"
Peninsula Humane Society & SPCA,ARQLTEGF,Heloise Rangel,Tier 3 ($20K–$50K),"$12,500",25,"$509,595","$79,144","$24,171","$2,095","$101,780","$4,013",$0,$0,$0,$0,$0,$0,$0,"$635,546","$85,251",86.6%,13.4%,92.0%,8.0%,96.2%,3.8%,,,88.2%,11.8%,0.0%,21.7%,29.8%,48.5%,0.0%,"$720,797"
"Ramapo-Bergen Animal Refuge, Inc.",AJSLNXNE,Heloise Rangel,Tier 4 ($10K–$20K),"$15,000",25,$0,"$71,080",$0,"$2,321","$566,711","$80,099",$0,$0,$0,$0,$0,$0,$0,"$566,711","$153,500",0.0%,100.0%,0.0%,100.0%,87.6%,12.4%,,,78.7%,21.3%,3.7%,,,,,"$720,211"
Orchard Group,AUMSGFBR,Flavia Castellano,Tier 4 ($10K–$20K),"$9,000",25,$0,"$29,597","$210,973","$377,519",$0,$0,$0,$0,$0,$0,$0,$0,"$102,018","$210,973","$509,134",0.0%,100.0%,35.8%,64.2%,,,,,29.3%,70.7%,2.8%,12.3%,42.5%,44.6%,0.6%,"$720,107"
The Labour Party,ABMDZWKV,Henrique Lucena,Tier 2 ($50K–$100K),"$56,450",14,"$18,879","$1,739","$185,691","$3,715","$349,477","$74,429",$0,$0,"$3,153",$0,$0,$0,"$82,634","$557,200","$162,517",91.6%,8.4%,98.0%,2.0%,82.4%,17.6%,,,77.4%,22.6%,0.0%,71.1%,14.1%,14.8%,0.1%,"$719,717"
Redwings Horse Sanctuary,AHWJKJKY,Natalia Zampieri,Tier 4 ($10K–$20K),"$10,000",25,"$51,896","$30,330","$224,754","$173,868",$0,$0,$0,$0,"$190,152","$46,319",$0,$0,$0,"$466,802","$250,516",63.1%,36.9%,56.4%,43.6%,,,,,65.1%,34.9%,0.0%,50.9%,40.9%,7.9%,0.4%,"$717,318"
Sea Shepherd Australia,ACRRCQKV,Natalia Zampieri,Tier 3 ($20K–$50K),"$20,000",25,"$149,768","$252,619","$51,638","$97,797",$0,$0,$0,$0,"$6,414","$14,188",$0,$0,"$139,683","$207,820","$504,286",37.2%,62.8%,34.6%,65.4%,,,,,29.2%,70.8%,0.0%,11.0%,42.3%,46.6%,0.0%,"$712,106"
Food Finders Food Bank,AVLNVSNT,Luisa Arias,Tier 3 ($20K–$50K),"$28,000",25,"$353,923","$100,259","$62,321","$30,061","$31,902","$2,799","$21,047","$1,388","$24,023","$82,229",$0,$0,$0,"$493,215","$216,736",77.9%,22.1%,67.5%,32.5%,91.9%,8.1%,93.8%,6.2%,69.5%,30.5%,16.0%,10.2%,32.9%,56.6%,0.3%,"$709,952"
OXFAM Italia,AAEGUFQS,Heloise Rangel,Tier 5 ($5K–10K),,25,"$531,574","$135,914","$25,479","$3,378",$0,"$5,834","$1,160",$0,$0,$0,$0,$0,"$5,199","$558,213","$150,325",79.6%,20.4%,88.3%,11.7%,0.0%,100.0%,100.0%,0.0%,78.8%,21.2%,0.0%,78.6%,9.9%,10.6%,1.0%,"$708,538"
Habitat for Humanity Canada,ABJKCVVK,Natalia Zampieri,Tier 3 ($20K–$50K),,21,"$186,290","$7,924","$4,155","$2,236","$455,292","$21,177","$12,908",$0,"$9,259","$8,831",$0,$0,$0,"$667,904","$40,168",95.9%,4.1%,65.0%,35.0%,95.6%,4.4%,100.0%,0.0%,94.3%,5.7%,0.0%,10.4%,35.2%,54.0%,0.4%,"$708,072"
Dogs Inc,AKBYVFUQ,Natalia Zampieri,Tier 2 ($50K–$100K),"$25,000",25,"$261,187","$40,908","$314,987","$84,266","$3,063",$0,$0,$0,$0,$0,$0,$0,$0,"$579,237","$125,174",86.5%,13.5%,78.9%,21.1%,100.0%,0.0%,,,82.2%,17.8%,0.0%,40.4%,23.9%,35.4%,0.3%,"$704,410"
A New Leaf,AUXZFGRT,Heloise Rangel,Tier 4 ($10K–$20K),"$9,000",25,"$554,266","$54,314","$11,834",$338,"$31,962","$10,791",$0,$0,"$24,970","$15,811",$0,$0,$0,"$623,032","$81,254",91.1%,8.9%,97.2%,2.8%,74.8%,25.2%,,,88.5%,11.5%,4.9%,94.6%,2.5%,2.4%,0.4%,"$704,285"
Kingdom Workers,AUXZBNMC,Natalia Zampieri,Tier 3 ($20K–$50K),"$20,250",25,"$222,735","$176,504","$15,228","$6,073","$8,450",$296,$0,$0,"$13,219","$84,470",$0,$0,"$177,293","$259,632","$444,636",55.8%,44.2%,71.5%,28.5%,96.6%,3.4%,,,36.9%,63.1%,0.0%,69.1%,14.0%,16.4%,0.6%,"$704,268"
This is About Humanity,AFRGBVWD, ,,,25,"$6,863",$663,"$585,770","$18,036",$0,$0,"$81,905","$9,602",$0,$0,$0,$0,$0,"$674,538","$28,300",91.2%,8.8%,97.0%,3.0%,,,89.5%,10.5%,96.0%,4.0%,10.7%,13.4%,28.7%,57.7%,0.2%,"$702,838"
MSI United States,ABWXSHGB,Luisa Arias,Tier 1 ($100K+),"$5,000",25,"$171,284","$78,144","$33,531","$73,665","$215,194","$36,670",$0,$0,"$65,234","$3,936",$0,$0,"$24,141","$485,242","$216,557",68.7%,31.3%,31.3%,68.7%,85.4%,14.6%,,,69.1%,30.9%,4.7%,16.8%,28.8%,53.8%,0.6%,"$701,799"
Terri Savelle Foy Ministries,ADJWJEGV,Peter Strom,Tier 5 ($5K–10K),,5,"$499,149","$35,794","$67,219","$7,500","$79,469","$11,587",$0,$0,$0,$0,$0,$0,$0,"$645,837","$54,881",93.3%,6.7%,90.0%,10.0%,87.3%,12.7%,,,92.2%,7.8%,0.0%,24.9%,27.3%,47.5%,0.3%,"$700,718"
Network For Animals (UK),AHXWQKSG,,,,13,"$546,099","$112,288","$4,543","$1,524",$0,$0,$0,$0,"$15,725","$1,216",$0,$0,"$10,884","$566,367","$125,911",82.9%,17.1%,74.9%,25.1%,,,,,81.8%,18.2%,0.0%,94.9%,2.1%,2.2%,0.7%,"$692,278"
Brain Tumour Research,AKAWZWDL,Oscar Gomez,Tier 5 ($5K–10K),"$6,000",25,"$171,341","$75,100","$4,173","$3,435","$334,793","$55,502",$0,$0,"$45,665","$1,445",$0,$0,$0,"$555,971","$135,483",69.5%,30.5%,54.8%,45.2%,85.8%,14.2%,,,80.4%,19.6%,0.0%,34.4%,30.4%,34.1%,1.1%,"$691,454"
SCIAF,AETNCUBA,Heloise Rangel,Tier 4 ($10K–$20K),"$18,100",25,"$582,237","$71,205","$25,821","$8,027",$0,"$1,644",$0,$0,$37,$0,$0,$0,$0,"$608,095","$80,876",89.1%,10.9%,76.3%,23.7%,0.0%,100.0%,,,88.3%,11.7%,0.0%,11.3%,35.8%,52.7%,0.1%,"$688,971"
Project Bastian - CB,AVGMGBHU,,,,11,$243,$36,$588,$354,"$559,057","$126,068",$0,$0,$0,$0,$0,$0,$0,"$559,889","$126,458",87.0%,13.0%,62.4%,37.6%,81.6%,18.4%,,,81.6%,18.4%,0.0%,27.7%,6.4%,61.7%,4.3%,"$686,347"
IFAW FR,ANBLTASX,,,,22,$0,"$1,523",$0,$0,"$507,639","$58,951",$0,$0,$0,$0,$0,$0,"$115,915","$507,639","$176,389",0.0%,100.0%,,,89.6%,10.4%,,,74.2%,25.8%,0.0%,,,,,"$684,028"
ICNA Council for Social Justice,AFFXCKMB,Heloise Rangel,Tier 6 (<$5K),"$10,000",25,"$240,122","$307,340","$24,860","$19,541","$63,325","$23,240","$1,618",$946,$100,$350,$0,$0,"$1,213","$330,025","$352,629",43.9%,56.1%,56.0%,44.0%,73.2%,26.8%,63.1%,36.9%,48.3%,51.7%,3.8%,71.2%,8.3%,19.7%,0.8%,"$682,655"
Open Medicine Foundation,RMVCYITE,Flavia Castellano,Tier 5 ($5K–10K),"$15,000",25,"$15,449","$41,344","$413,519","$211,131",$0,$0,$228,$0,$0,$10,$0,$0,$0,"$429,197","$252,485",27.2%,72.8%,66.2%,33.8%,,,100.0%,0.0%,63.0%,37.0%,5.5%,7.8%,22.0%,29.7%,40.5%,"$681,682"
SU2C Phones US English Show,AGPUPUKX,Wil Pope,,,25,$0,$0,$165,$0,$0,$0,$0,$0,"$629,796","$48,251",$0,$0,$0,"$629,961","$48,251",,,100.0%,0.0%,,,,,92.9%,7.1%,0.0%,0.0%,50.0%,50.0%,0.0%,"$678,212"
Ronald McDonald House Charities Bay Area,AUCFSSRW,Heloise Rangel,Tier 4 ($10K–$20K),"$18,000",25,"$93,539","$10,115","$420,203","$30,945","$22,515",$0,"$8,567",$65,"$89,866",$920,$0,$0,$0,"$634,691","$42,045",90.2%,9.8%,93.1%,6.9%,100.0%,0.0%,99.3%,0.7%,93.8%,6.2%,8.5%,18.8%,37.0%,40.9%,3.4%,"$676,735"
TV Rain,AQHHQRLN,Flavia Castellano,Tier 4 ($10K–$20K),,24,"$58,357","$285,309","$9,363","$66,061","$45,790","$4,146",$0,$0,$0,$0,$0,$0,"$205,670","$113,511","$561,186",17.0%,83.0%,12.4%,87.6%,91.7%,8.3%,,,16.8%,83.2%,0.0%,9.8%,10.7%,77.7%,1.7%,"$674,696"
Saint Anthony Shrine,AFACDSTR,Natalia Zampieri,Tier 4 ($10K–$20K),,11,"$148,077","$6,663","$415,255","$21,243",$0,$0,"$3,267",$54,"$4,002",$900,$0,$0,"$74,882","$570,600","$103,741",95.7%,4.3%,95.1%,4.9%,,,98.4%,1.6%,84.6%,15.4%,0.0%,18.3%,23.9%,56.7%,1.1%,"$674,341"
The Hebron Fund,AVEKCVXH,Flavia Castellano,Tier 4 ($10K–$20K),"$15,000",23,"$7,941","$1,226","$599,621","$62,911",$463,$246,$0,$0,$112,"$1,740",$0,$0,$0,"$608,138","$66,122",86.6%,13.4%,90.5%,9.5%,65.3%,34.7%,,,90.2%,9.8%,0.0%,23.3%,21.5%,54.9%,0.3%,"$674,260"
Point Foundation,ARPZFWUN,Heloise Rangel,Tier 4 ($10K–$20K),,25,"$476,277","$76,628","$41,248","$1,662",$0,$0,"$27,252","$1,696","$4,975","$5,050",$0,$0,"$35,090","$549,752","$120,126",86.1%,13.9%,96.1%,3.9%,,,94.1%,5.9%,82.1%,17.9%,4.9%,70.2%,12.9%,16.7%,0.2%,"$669,878"
The Jed Foundation,ANBMCCFC,Heloise Rangel,Tier 3 ($20K–$50K),"$18,286",25,"$247,511","$21,217","$6,141","$1,310","$323,540","$55,713",$0,$0,$0,$0,$0,$0,"$14,374","$577,192","$92,615",92.1%,7.9%,82.4%,17.6%,85.3%,14.7%,,,86.2%,13.8%,4.5%,75.1%,10.3%,14.5%,0.1%,"$669,807"
CARE Canada,AYTMPCJF,Flavia Castellano,Tier 3 ($20K–$50K),"$25,200",19,"$189,513","$9,413","$89,094","$44,749","$308,698","$15,499",$0,$0,$28,"$12,308",$0,$0,$0,"$587,333","$81,970",95.3%,4.7%,66.6%,33.4%,95.2%,4.8%,,,87.8%,12.2%,0.3%,9.4%,37.7%,52.8%,0.1%,"$669,303"
Orlando Union Rescue Mission,AHJHKGES,Emilie Poignet,Tier 4 ($10K–$20K),"$13,000",4,"$412,178","$4,427","$211,542","$1,862","$38,891",$225,$0,$0,$23,$35,$0,$0,$0,"$662,634","$6,550",98.9%,1.1%,99.1%,0.9%,99.4%,0.6%,,,99.0%,1.0%,0.0%,11.3%,32.6%,56.1%,0.0%,"$669,183"
Lanai Cat Sanctuary,AZAYGJZS,Luisa Arias,Tier 3 ($20K–$50K),,22,"$194,553","$163,528","$18,982","$25,291","$245,524","$20,076",$0,$0,$785,$0,$0,$0,$0,"$459,844","$208,895",54.3%,45.7%,42.9%,57.1%,92.4%,7.6%,,,68.8%,31.2%,0.0%,16.6%,34.4%,48.7%,0.4%,"$668,739"
Alzheimer Society of British Columbia,AEXRYHEM, ,,,20,"$155,425","$4,699","$129,325","$4,660","$364,289","$8,412",$0,$0,$0,$0,$0,$0,$0,"$649,038","$17,770",97.1%,2.9%,96.5%,3.5%,97.7%,2.3%,,,97.3%,2.7%,4.0%,11.3%,34.0%,54.7%,0.1%,"$666,809"
Covenant House International,ANEQYMCP,Henrique Lucena,Tier 2 ($50K–$100K),"$250,000",16,"$264,037","$2,675","$392,262","$7,317",$11,$56,$0,$0,$0,$0,$0,$0,$0,"$656,309","$10,047",99.0%,1.0%,98.2%,1.8%,16.1%,83.9%,,,98.5%,1.5%,4.4%,51.4%,16.3%,32.3%,0.0%,"$666,356"
Help Yateem USA,AHCSAEQV,Oscar Gomez,,,4,"$23,532",$818,$445,$0,"$618,417","$22,955",$0,$0,$0,$0,$0,$0,$0,"$642,394","$23,774",96.6%,3.4%,100.0%,0.0%,96.4%,3.6%,,,96.4%,3.6%,0.0%,22.7%,16.3%,61.0%,0.0%,"$666,167"
High Plains Food Bank,AXKVPFKN,Heloise Rangel,Tier 5 ($5K–10K),"$21,000",25,"$158,391","$5,203","$263,194","$95,656","$36,455","$3,085","$21,980","$1,936","$7,046","$5,696",$0,$0,"$65,970","$487,065","$177,547",96.8%,3.2%,73.3%,26.7%,92.2%,7.8%,91.9%,8.1%,73.3%,26.7%,10.6%,7.3%,33.0%,58.6%,1.1%,"$664,612"
Strong Towns,AJLCPRKC,Heloise Rangel,Tier 6 (<$5K),$600,25,"$149,698","$380,529","$58,473","$11,796",$315,"$1,490",$0,$0,$30,$448,$0,$0,"$60,946","$208,516","$455,209",28.2%,71.8%,83.2%,16.8%,17.5%,82.5%,,,31.4%,68.6%,0.1%,42.3%,14.3%,42.0%,1.4%,"$663,725"
Barn Sanctuary,ANHYCQFK,Oscar Gomez,Tier 3 ($20K–$50K),"$21,000",25,"$75,013","$87,218","$51,561","$12,042","$137,052","$82,220",$0,$0,"$2,981",$792,$0,$0,"$214,518","$266,607","$396,790",46.2%,53.8%,81.1%,18.9%,62.5%,37.5%,,,40.2%,59.8%,3.5%,22.4%,27.1%,50.1%,0.3%,"$663,397"
"WayForward Resources, Inc.",ABPBNMGX,Heloise Rangel,Tier 5 ($5K–10K),"$8,000",25,"$7,274","$47,876","$462,791","$60,504",$0,$0,$0,$0,$200,"$1,440",$0,$0,"$82,371","$470,265","$192,191",13.2%,86.8%,88.4%,11.6%,,,,,71.0%,29.0%,12.1%,13.5%,35.4%,51.1%,0.0%,"$662,456"
Rainforest Foundation US,AHGQPUXE,Flavia Castellano,Tier 2 ($50K–$100K),"$60,000",25,"$20,099","$97,370","$396,601","$71,581","$34,638","$13,697","$1,022",$632,$0,$400,$0,$0,"$24,274","$452,359","$207,954",17.1%,82.9%,84.7%,15.3%,71.7%,28.3%,61.8%,38.2%,68.5%,31.5%,5.3%,16.1%,30.0%,53.7%,0.2%,"$660,313"
Spotlight PA,AMFMKDLA,Natalia Zampieri,Tier 4 ($10K–$20K),,18,"$5,206","$3,343","$50,089","$8,972","$313,461","$87,119",$832,$0,"$3,272",$0,$0,$0,"$184,434","$372,860","$283,868",60.9%,39.1%,84.8%,15.2%,78.3%,21.7%,100.0%,0.0%,56.8%,43.2%,0.0%,18.9%,33.5%,47.0%,0.6%,"$656,729"
World Cancer Research Fund,AKVVVSLL,Flavia Castellano,Tier 4 ($10K–$20K),,25,"$267,804","$44,912","$15,679","$1,511",$625,$256,"$1,521",$0,"$320,373",$0,$0,$0,$0,"$606,003","$46,678",85.6%,14.4%,91.2%,8.8%,71.0%,29.0%,100.0%,0.0%,92.8%,7.2%,0.0%,63.0%,10.2%,26.4%,0.4%,"$652,681"
13 Rivers Trust,AFQKGLXB,,,,25,"$114,913","$250,727","$165,882","$87,618","$21,434","$10,815",$833,$21,$0,$0,$0,$0,$0,"$303,062","$349,181",31.4%,68.6%,65.4%,34.6%,66.5%,33.5%,97.5%,2.5%,46.5%,53.5%,0.0%,22.1%,19.9%,57.1%,1.0%,"$652,243"
"TED Foundation, Inc.",AVFWZGUV,Emilie Poignet,Tier 3 ($20K–$50K),"$23,000",21,$0,$236,"$3,192","$6,556","$18,856","$250,093",$0,$0,$0,$0,$0,$0,"$372,573","$22,048","$629,457",0.0%,100.0%,32.7%,67.3%,7.0%,93.0%,,,3.4%,96.6%,0.0%,31.6%,3.9%,64.5%,0.0%,"$651,504"
The 19th,AXWQCBVT,Heloise Rangel,Tier 3 ($20K–$50K),"$40,000",25,"$126,475","$60,438","$105,189","$278,073","$17,984","$10,639","$17,609","$7,260",$0,$53,$0,$0,"$27,117","$267,256","$383,579",67.7%,32.3%,27.4%,72.6%,62.8%,37.2%,70.8%,29.2%,41.1%,58.9%,7.1%,36.4%,31.4%,32.0%,0.1%,"$650,835"
Outright International,ACYJUNQG,Flavia Castellano,Tier 4 ($10K–$20K),"$10,000",25,"$246,042","$62,684","$254,384","$76,837",$0,$460,$0,$0,"$8,584",$0,$0,$0,$0,"$509,010","$139,981",79.7%,20.3%,76.8%,23.2%,0.0%,100.0%,,,78.4%,21.6%,7.4%,38.2%,27.4%,34.4%,0.0%,"$648,991"
ACN - UK,ALVBQKGB,Henrique Lucena,Tier 3 ($20K–$50K),"$21,295",16,"$204,513","$5,277","$283,301","$13,507","$117,141","$5,901","$17,409",$509,$0,$0,$0,$0,$0,"$622,364","$25,193",97.5%,2.5%,95.4%,4.6%,95.2%,4.8%,97.2%,2.8%,96.1%,3.9%,0.0%,17.8%,46.3%,34.9%,0.9%,"$647,558"
Global Disciples USA,ASUHKUUR,Flavia Castellano,Tier 3 ($20K–$50K),"$10,000",25,"$257,605","$88,051","$64,617","$4,830","$6,531",$0,$0,$0,"$30,038","$40,787",$0,$0,"$152,706","$358,791","$286,374",74.5%,25.5%,93.0%,7.0%,100.0%,0.0%,,,55.6%,44.4%,0.0%,67.2%,25.2%,7.4%,0.3%,"$645,164"
Forgotten Women,ACNSJCDJ,Heloise Rangel,,,14,"$481,488","$82,263","$56,556","$23,035","$1,657",$23,$0,$0,$0,$0,$0,$0,$0,"$539,701","$105,321",85.4%,14.6%,71.1%,28.9%,98.6%,1.4%,,,83.7%,16.3%,0.0%,22.1%,9.2%,67.7%,1.0%,"$645,022"
Trees for the Future,ARVZHQSE,Luisa Arias,Tier 3 ($20K–$50K),"$14,491",15,"$90,748","$13,923","$261,425","$34,104","$39,222","$6,551","$11,305",$310,"$1,585",$0,$0,$0,"$184,796","$404,285","$239,683",86.7%,13.3%,88.5%,11.5%,85.7%,14.3%,97.3%,2.7%,62.8%,37.2%,7.3%,27.0%,24.1%,48.7%,0.2%,"$643,968"
Patient Access Network Foundation,AHVPFZFD,Heloise Rangel,Tier 1 ($100K+),"$18,000",25,"$254,804","$108,932","$158,112","$28,900",$0,"$4,059",$0,$0,"$24,219","$2,438",$0,$0,"$62,174","$437,135","$206,502",70.1%,29.9%,84.5%,15.5%,0.0%,100.0%,,,67.9%,32.1%,3.5%,16.6%,24.0%,58.2%,1.1%,"$643,636"
Helping Captives,ALPHYBKT,Heloise Rangel,Tier 3 ($20K–$50K),,25,"$8,965","$3,306","$270,773","$53,135","$147,919","$18,437",$70,$104,$0,"$22,838",$0,$0,"$113,493","$427,727","$211,314",73.1%,26.9%,83.6%,16.4%,88.9%,11.1%,40.2%,59.8%,66.9%,33.1%,10.7%,4.7%,37.2%,57.7%,0.5%,"$639,040"
Freedom Philanthropies,AFKPNPQY,Wil Pope,Tier 1 ($100K+),"$100,000",25,"$18,500","$250,881",$184,"$360,684","$6,164","$1,081",$0,$0,$0,$0,$0,$0,$0,"$24,848","$612,646",6.9%,93.1%,0.1%,99.9%,85.1%,14.9%,,,3.9%,96.1%,1.5%,13.3%,30.0%,56.7%,0.0%,"$637,494"
