"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"Scholastic","artandwriting.org","artandwriting.org","Prospect","Prospect","Working","A25: Arts Education, Schools of Art","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 2"
"UNHCR Canada","unhcr.ca","unhcr.ca","Prospect","Prospect","Responded","Q71: International Migration, Refugee Issues","Q: International, Foreign Affairs, and National Security","International Migration, Refugee Issues","International Affairs","International Affairs - General","TIER 2"
"VHCHealth","vhchealth.org","vhchealth.org","Prospect","Prospect","Working","E22: Hospital, General","E: Health","Hospitals and Primary Medical Care Facilities","Healthcare","Healthcare - Hospitals","TIER 2"
"Iolani Palace","iolanipalace.org","iolanipalace.org","Prospect","Prospect","Working","A54: History Museums","A: Arts, Culture, and Humanities","Museums","Arts & Culture","Arts & Culture - General","TIER 2"
"Girl Scouts of North East Ohio","https://www.gsneo.org/","gsneo.org","Prospect","Prospect","Working","O40: Scouting Organizations","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 2"
"Rady Children's Hospital","rchsd.org","rchsd.org","Prospect","Prospect","Responded","E24: Hospital, Specialty","E: Health","Hospitals and Primary Medical Care Facilities","Healthcare","Healthcare - Hospitals","TIER 2"
"Crohn's & Colitis Foundation","crohnscolitisfoundation.org","crohnscolitisfoundation.org","Customer","Customer Active","Customer","G90: Medical Disciplines","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 2"
"The San Francisco Housing Accelerator Fund","sfhaf.org","sfhaf.org","Prospect","Prospect","Working","L20: Housing Development, Construction, Management","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"United Network for Organ Sharing","unos.org","unos.org","Prospect","Prospect","Working","E65: Organ and Tissue Bank","E: Health","Blood/Donor banks","Healthcare","Healthcare - General","TIER 2"
"Baylor University","baylor.edu","baylor.edu","Prospect","Prospect","Working","B43: University or Technological Institute","B: Education","Higher Education","Education","Higher Education","TIER 2"
"Chimes","chimes.org","chimes.org","Prospect","Prospect","Working","P82: Developmentally Disabled Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"Bay Area Rescue Mission","bayarearescue.org","bayarearescue.org","Customer","Customer Active","Customer","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 2"
"Wildlife Rescue Incorporated","wildlife-rescue.org","wildlife-rescue.org","Prospect","Prospect","Working","D34: Wildlife Sanctuary, Refuge","D: Animal-Related","Animal Related - General","Animal Welfare","Animal Welfare - General","TIER 2"
"Center on Halsted","centeronhalsted.org","centeronhalsted.org","Prospect","Prospect","Responded","P80: Services to Promote the Independence of Specific Population Groups","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"YMCA of Metro North","ymcametronorth.org","ymcametronorth.org","Prospect","Prospect","Working","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 2"
"National Capital Area Council Boy Scouts of America","ncacbsa.org","ncacbsa.org","Prospect","Prospect","Working","O40: Scouting Organizations","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 2"
"Washington Pavilion","washingtonpavilion.org","washingtonpavilion.org","Prospect","Prospect","Responded","A20: Arts, Cultural Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 2"
"360 Communities","360communities.org","360communities.org","Prospect","Prospect","Working","S20: Community, Neighborhood Development, Improvement","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Family First","familyfirst.net","familyfirst.net","Prospect","Prospect","Responded","P01: Human Services Alliances and Advocacy","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 2"
"Aggieland Humane Society","aggielandhumane.org","aggielandhumane.org","Prospect","Engaged Prospect","Meeting Lost","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 2"
"MarriageToday","xomarriage.com","xomarriage.com","Prospect","Prospect","Working","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 2"
"MAXFUND INC","maxfund.org","maxfund.org","Prospect","Prospect","Working","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 2"
"MITAGS","mitags.org","mitags.org","Prospect","Prospect","Working","J22: Employment Training","J: Employment, Job Related","Employment & Job Related Org - General","Public and Society Benefit","Public & Society Benefit - Employment, Job","TIER 2"
"Onslow Memorial Hospital","onslow.org","onslow.org","Prospect","Prospect","Working","G30: Cancer","G: Diseases, Disorders, Medical Disciplines","Cancer Treatment","Healthcare","Healthcare - Cancer","TIER 2"
"Tax Foundation","taxfoundation.org","taxfoundation.org","Prospect","Prospect","Working","W05: Public and Societal Benefit Research Institutes and Public Policy Analysis","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Mustard Seed Communities","mustardseed.com","mustardseed.com","Prospect","Prospect","Working","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 2"
"Fund for Armenian Relief","farusa.org","farusa.org","Prospect","Prospect","Working","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 2"
"Rockwood Leadership Institute","rockwoodleadership.org","rockwoodleadership.org","Prospect","Prospect","Working","W00: Public Policy, Public Services Institutions: General","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Eisenhower Fellowships","efworld.org","efworld.org","Prospect","Prospect","Working","Q20: International Exchanges, Cultural Understanding","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 2"
"Middle East CHILDREN'S Alliance","mecaforpeace.org","mecaforpeace.org","Prospect","Prospect","Responded","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 2"
"Information Technology and Innovation Foundation","itif.org","itif.org","Prospect","Prospect","Working","U40: Engineering and Technology Research, Services","U: Science and Technology","Science & Technology Research Institutes, Services - General","Science & Technology","Science & Technology - General","TIER 2"
"The Center for Growth and Opportunity at Utah State University","thecgo.org","thecgo.org","Prospect","Prospect","Working","V20: Social Science Research Institutes, Services","V: Social Science Research Institutes","Social Science Research Institutes and Services - General","Public and Society Benefit","Public & Society Benefit - Social Science","TIER 2"
"Tilting Futures","tiltingfutures.org","tiltingfutures.org","Prospect","Prospect","Responded","Q20: International Exchanges, Cultural Understanding","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 2"
"Unitarian Universalist Association","uua.org","uua.org","Prospect","Prospect","Meeting Rescheduled","B00: Education: General","B: Education","Education related Org - General","Education","Education - General","TIER 2"
"Fugees Academy","fugeesfamily.org","fugeesfamily.org","Prospect","Prospect","Working","N64: Soccer Clubs, Leagues","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 2"
"News Revenue Hub","fundjournalism.org","fundjournalism.org","Prospect","Prospect","Working","A33: Printing, Publishing","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 2"
"Proverbs 31 Ministries","proverbs31.org","proverbs31.org","Customer","Customer Active","Customer","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 2"
"Management Leadership For Tomorrow","mlt.org","mlt.org","Prospect","Prospect","Working","S41: Promotion of Business","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"CDC Foundation","cdcfoundation.org","cdcfoundation.org","Prospect","Prospect","Nurture","E11: Health Care Single Organization Support","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 2"
"Modern Language Association of America","mla.org","mla.org","Prospect","Prospect","Working","A70: Humanities Organizations","A: Arts, Culture, and Humanities","Humanities Organizations","Arts & Culture","Arts & Culture - General","TIER 2"
"Asphalt Green","asphaltgreen.org","asphaltgreen.org","Prospect","Prospect","Working","N31: Community Recreational Centers","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 2"
"PBS Western Reserve","pbswesternreserve.org","pbswesternreserve.org","Prospect","Prospect","Working","A32: Television","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 2"
"Education For Employment","https://www.efe.org/","efe.org","Prospect","Prospect","Working","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 2"
"Pittsburgh Public Theater","ppt.org","ppt.org","Prospect","Prospect","Working","A65: Theater","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 2"
"Franciscan Mission Associates","franciscanmissionassoc.org","franciscanmissionassoc.org","Prospect","Prospect","Working","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 2"
"Church of the Nazarene, Inc.","nazarene.org","nazarene.org","Prospect","Prospect","Working","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 2"
"Northwell Health Foundation","northwell.edu","northwell.edu","Prospect","Prospect","Responded","T31: Community Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"WQED","wqed.org","wqed.org","Prospect","Prospect","Working","A30: Media, Communications Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 2"
"California Waterfowl","calwaterfowl.org","calwaterfowl.org","Prospect","Prospect","Working","D30: Wildlife Preservation, Protection","D: Animal-Related","Animal Related - General","Animal Welfare","Animal Welfare - General","TIER 2"
"Avenidas","avenidas.org","avenidas.org","Prospect","Prospect","Working","P81: Senior Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"Placer SPCA","placerspca.org","placerspca.org","Prospect","Prospect","Working","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 2"
"Fort Worth Symphony Orchestra","fwsymphony.org","fwsymphony.org","Prospect","Prospect","Responded","A69: Symphony Orchestras","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 2"
"Families in Transition","fitnh.org","fitnh.org","Prospect","Prospect","Working","L21: Public Housing Facilities","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"Artists For Humanity","afhboston.org","afhboston.org","Prospect","Prospect","Responded","A25: Arts Education, Schools of Art","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 2"
"SeekersGuidance: The Global Islamic Academy","seekersguidance.org","seekersguidance.org","Prospect","Prospect","Working","X40: Islamic","X: Religion Related, Spiritual Development","Islamic","Religion","Religion - Islamic","TIER 2"
"Little Tokyo Service Center","ltsc.org","ltsc.org","Prospect","Prospect","Working","S20: Community, Neighborhood Development, Improvement","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Wildlife Center of Virginia","wildlifecenter.org","wildlifecenter.org","Prospect","Prospect","Working","D34: Wildlife Sanctuary, Refuge","D: Animal-Related","Animal Related - General","Animal Welfare","Animal Welfare - General","TIER 2"
"U.S. Figure Skating","usfigureskating.org","usfigureskating.org","Prospect","Prospect","Responded","N70: Amateur Sports Competitions","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 2"
"Sarvoham Animal Foundation","sarvoham.org","sarvoham.org","Prospect","Prospect","Responded","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 2"
"Orphans in Need - USA","oinusa.org","oinusa.org","Prospect","","Nurture","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 2"
"Grameen America","grameenamerica.org","grameenamerica.org","Prospect","Prospect","Nurture","S43: Management Services for Small Business, Entrepreneurs","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Congressional Black Caucus Foundation","cbcfinc.org","cbcfinc.org","Prospect","Prospect","Working","R20: Civil Rights, Advocacy for Specific Groups","R: Civil Rights, Social Action, Advocacy","Civil Rights, Advocacy for Specific Groups","Human Services","Human Services - Civil Rights, Social Justice","TIER 2"
"Citizens for Responsibility and Ethics in Washington","citizensforethics.org","citizensforethics.org","Prospect","Prospect","Working","W20: Government and Public Administration","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Association for Women's Rights in Development","awid.org","awid.org","Prospect","Prospect","Responded","Q70: International Human Rights","Q: International, Foreign Affairs, and National Security","International Human Rights","International Affairs","International Affairs - General","TIER 2"
"Ludwig Von Mises Institute for Austrian Economics","mises.org","mises.org","Prospect","Prospect","Responded","V20: Social Science Research Institutes, Services","V: Social Science Research Institutes","Social Science Research Institutes and Services - General","Public and Society Benefit","Public & Society Benefit - Social Science","TIER 2"
"The John Locke Foundation","johnlocke.org","johnlocke.org","Prospect","Prospect","Working","W20: Government and Public Administration","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"BibleProject","bibleproject.com","bibleproject.com","Prospect","Prospect","Responded","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 2"
"Becket Fund for Religious Liberty","becketlaw.org","becketlaw.org","Prospect","Prospect","Working","R60: Civil Liberties Advocacy","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 2"
"The Immigrant Learning Center","ilctr.org","ilctr.org","Prospect","Prospect","Working","P84: Ethnic, Immigrant Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"Spsmw","spsmw.org","spsmw.org","Prospect","Prospect","Working","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 2"
"Franciscan Media","franciscanmedia.org","franciscanmedia.org","Prospect","Prospect","Working","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 2"
"CHC Palo Alto","chconline.org","chconline.org","Prospect","Prospect","Working","F30: Mental Health Treatment","F: Mental Health, Crisis Intervention","Mental Health Treatment","Healthcare","Healthcare - Mental Health, Abuse","TIER 2"
"World Vision Australia","worldvision.com.au","worldvision.com.au","Prospect","Prospect","Responded","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 2"
"Society for the Prevention of Cruelty to Animals (SPCA) International","spcai.org","spcai.org","Customer","Customer Active","Customer","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 2"
"American Friends of the Rambam Medical Center","aforam.org","aforam.org","Prospect","Prospect","Working","Q11: International, Foreign Affairs and National Security Single Organization Support","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 2"
"Sierra Foothill Conservancy","sierrafoothill.org","sierrafoothill.org","Prospect","Prospect","Working","C32: Water Resource, Wetlands Conservation and Management","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 2"
"California Academy of PAs","capanet.org","capanet.org","Prospect","Prospect","Working","S41: Promotion of Business","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Accessia Health","accessiahealth.org","accessiahealth.org","Prospect","Prospect","Working","E86: Patient Services","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 2"
"Christ Embassy","christembassy.org","christembassy.org","Prospect","Prospect","Working","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 2"
"Juvenile Law Center","jlc.org","jlc.org","Prospect","Prospect","Meeting Lost","I40: Rehabilitation Services for Offenders","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 2"
"Digitunity","digitunity.org","digitunity.org","Prospect","Prospect","Working","S00: Community Improvement, Capacity Building: General","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Housing Collaborative","housingcollab.org","housingcollab.org","Prospect","Prospect","Working","L80: Housing Support Services","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"Leukemia Research Foundation","leukemiarf.org","leukemiarf.org","Prospect","Prospect","Working","H30: Cancer Research","H: Medical Research","Medical Research - General","Healthcare","Healthcare - General","TIER 2"
"WITF Inc","witf.org","witf.org","Prospect","Prospect","Working","A30: Media, Communications Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 2"
"White Coat Waste Project","whitecoatwaste.org","whitecoatwaste.org","Prospect","Prospect","Working","D30: Wildlife Preservation, Protection","D: Animal-Related","Animal Related - General","Animal Welfare","Animal Welfare - General","TIER 2"
"FAMM","famm.org","famm.org","Prospect","Prospect","Meeting Lost","I80: Legal Services","I: Crime, Legal Related","Legal Services","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 2"
"Passionist","passionist.org","passionist.org","Prospect","Prospect","Working","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 2"
"Sacramento Region Community Foundation","sacregcf.org","sacregcf.org","Prospect","Prospect","Responded","T31: Community Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Massachusetts Eye and Ear","masseyeandear.org","masseyeandear.org","Prospect","Prospect","Working","G40: Diseases of Specific Organs","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 2"
"Equal Justice USA","ejusa.org","ejusa.org","Prospect","Prospect","Responded","I80: Legal Services","I: Crime, Legal Related","Legal Services","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 2"
"Carolina Farm Stewardship Association","carolinafarmstewards.org","carolinafarmstewards.org","Prospect","Prospect","Meeting Lost","K20: Agricultural Programs","K: Food, Agriculture, and Nutrition","Food, Agriculture, Nutrition Org - General","Food & Nutrition","Food - General","TIER 2"
"Team Red White and Blue","teamrwb.org","teamrwb.org","Prospect","Prospect","Meeting Rescheduled","W30: Military, Veterans Organizations","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Every Mother Counts","everymothercounts.org","everymothercounts.org","Prospect","Prospect","Working","E70: Public Health Programs","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 2"
"Common Justice","commonjustice.org","commonjustice.org","Prospect","Prospect","Working","I40: Rehabilitation Services for Offenders","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 2"
"California Yimby","cayimby.org","cayimby.org","Prospect","Prospect","Working","L01: Housing and Shelter Alliances and Advocacy","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"Leading Educators","leadingeducators.org","leadingeducators.org","Prospect","Prospect","Working","B90: Educational Services","B: Education","Education related Org - General","Education","Education - General","TIER 2"
"Oil Change International","oilchange.org","oilchange.org","Prospect","Prospect","Working","S40: Business and Industry","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Prevent Child Abuse America","preventchildabuse.org","preventchildabuse.org","Prospect","Prospect","Responded","I72: Child Abuse, Prevention of","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 2"
"Send International","send.org","send.org","Prospect","Prospect","Responded","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 2"
"Abilene Christian University","acu.edu","acu.edu","Prospect","Prospect","Working","B42: Undergraduate College (4-year)","B: Education","Higher Education","Education","Higher Education","TIER 2"
"Greenheart International","greenheart.org","greenheart.org","Prospect","Prospect","Working","Q20: International Exchanges, Cultural Understanding","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 2"
"The Food Bank of Waterloo Region","www.thefoodbank.ca","thefoodbank.ca","Customer","Customer Active","Customer","K31: Food Banks & Pantries","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 2"
"SIECUS","siecus.org","siecus.org","Prospect","Prospect","Working","E70: Public Health Programs","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 2"
"Aida-Americas","aida-americas.org","aida-americas.org","Prospect","Prospect","Working","C20: Pollution Abatement and Control Services","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 2"
"Love A Child","loveachild.com","loveachild.com","Customer","Customer Active","Customer","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 2"
"Operation Homefront","operationhomefront.org","operationhomefront.org","Prospect","Prospect","Responded","P80: Services to Promote the Independence of Specific Population Groups","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"The Fred Rogers","fredrogers.org","fredrogers.org","Prospect","Prospect","Meeting Lost","A32: Television","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 2"
"Evangelical Covenant Church","covchurch.org","covchurch.org","Prospect","Prospect","Working","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 2"
"Dakin Humane Society","dakinhumane.org","dakinhumane.org","Prospect","Prospect","Working","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 2"
"Legal Services of Eastern Missouri","lsem.org","lsem.org","Prospect","Prospect","Working","I80: Legal Services","I: Crime, Legal Related","Legal Services","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 2"
"Muttville Senior Dog Rescue","muttville.org","muttville.org","Prospect","Prospect","Responded","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 2"
"Alpert Jewish Family Service","alpertjfs.org","alpertjfs.org","Prospect","Prospect","Responded","P74: Hospice","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"Lakeshore Legal Aid","lakeshorelegalaid.org","lakeshorelegalaid.org","Prospect","Engaged Prospect","Meeting Lost","I80: Legal Services","I: Crime, Legal Related","Legal Services","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 2"
"AIM at Melanoma Foundation","aimatmelanoma.org","aimatmelanoma.org","Prospect","Prospect","Working","G30: Cancer","G: Diseases, Disorders, Medical Disciplines","Cancer Treatment","Healthcare","Healthcare - Cancer","TIER 2"
"Big Brothers Big Sisters Kansas City","bbbskc.org","bbbskc.org","Prospect","Prospect","Responded","O30: Adult, Child Matching Programs","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 2"
"Children Incorporated","childrenincorporated.org","childrenincorporated.org","Prospect","Prospect","Working","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 2"
"McCormick Foundation","mccormickfoundation.org","mccormickfoundation.org","Prospect","Prospect","Working","T30: Public Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Public Foundations","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Almost Home","almosthomeonline.org","almosthomeonline.org","Prospect","Prospect","Working","L41: Homeless, Temporary Shelter","L: Housing, Shelter","Temporary Shelter for the Homeless","Human Services","Human Services - Housing, Shelter","TIER 2"
"Root & Rebound","rootandrebound.org","rootandrebound.org","Prospect","Prospect","Responded","I40: Rehabilitation Services for Offenders","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 2"
"Fisher Center for Alzheimer's Research Foundation","alzinfo.org","alzinfo.org","Prospect","Prospect","Working","H90: Medical Specialty Research","H: Medical Research","Medical Research - General","Healthcare","Healthcare - General","TIER 2"
"San Ysidro Health","syhealth.org","syhealth.org","Prospect","Prospect","Working","E32: Ambulatory Health Center, Community Clinic","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 2"
"ACLU Foundation of Florida","aclufl.org","aclufl.org","Prospect","Prospect","Working","R60: Civil Liberties Advocacy","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 2"
"Hinsdale Humane Society","hinsdalehumanesociety.org","hinsdalehumanesociety.org","Prospect","Prospect","Working","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 2"
"SBA Pro-Life America","sbaprolife.org","sbaprolife.org","Prospect","Engaged Prospect","Meeting Lost","R62: Right to Life","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 2"
"American Bridge 21ST Century Foundation","americanbridgepac.org","americanbridgepac.org","Prospect","Prospect","Responded","W05: Public and Societal Benefit Research Institutes and Public Policy Analysis","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Sightline Institute","sightline.org","sightline.org","Prospect","Prospect","Working","C30: Natural Resources Conservation and Protection","C: Environmental Quality, Protection, and Beautification","Climate protection","Environment","Environment - General","TIER 2"
"Informed Consent Action Network","icandecide.org","icandecide.org","Prospect","Prospect","Working","E60: Health Support Services","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 2"
"New York Immigration Coalition","nyic.org","nyic.org","Prospect","Prospect","Working","R20: Civil Rights, Advocacy for Specific Groups","R: Civil Rights, Social Action, Advocacy","Civil Rights, Advocacy for Specific Groups","Human Services","Human Services - Civil Rights, Social Justice","TIER 2"
