"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"SLVT Consulting","salpietro.com","salpietro.com","Prospect","","Opportunity","A40: Visual Art Organizations, Services","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","-"
"K2D Strategies","k2dstrategies.com","k2dstrategies.com","Partner","","Responded","T12: Philanthropy, Voluntarism and Grantmaking Foundations Fund Raising and Fund Distribution","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Purpose Works","purposeworks.ca","purposeworks.ca","Prospect","","Responded","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","-"
"soQuiet Misophonia Advocacy","soquiet.org","soquiet.org","Prospect","","Opportunity","G01: Voluntary Health Associations and Medical Disciplines Alliances and Advocacy","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","-"
"Exclusively First Responders 501","exclusivelyfirstresponders.org","exclusivelyfirstresponders.org","Prospect","","Responded","F60: Counseling Support Groups","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","-"
"Project Bear Hug Cares","projectbearhugscares.com","projectbearhugscares.com","Prospect","","Opportunity","M20: Disaster Preparedness and Relief Service","M: Public Safety","Disaster Preparedness and Relief Service","Human Services","Human Services - Public Safety","-"
"#ReadMane","readingwithmrsrichardson.org","readingwithmrsrichardson.org","Prospect","","Opportunity","B90: Educational Services","B: Education","Education related Org - General","Education","Education - General","-"
"Chabad Escondido","chabadescondido.org","chabadescondido.org","Prospect","","Opportunity","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"Veterans Intellectual Property","veteransip.org","veteransip.org","Prospect","","Opportunity","I80: Legal Services","I: Crime, Legal Related","Legal Services","Public and Society Benefit","Public & Society Benefit - Crime, Legal","-"
"Charlotte-Mecklenburg Schools","student.cms.k12.nc.us","student.cms.k12.nc.us","Prospect","","Meeting Rescheduled","K01: Food, Agriculture and Nutrition Alliances and Advocacy","K: Food, Agriculture, and Nutrition","Food, Agriculture, Nutrition Org - General","Food & Nutrition","Food - General","-"
"Wright Consulting Corp","wrightconsultingcorp.com","wrightconsultingcorp.com","Prospect","","Working","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Catholic Charities of the Diocese of Arlington","ccda.net","ccda.net","Prospect","","Working","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","-"
"Mrbshowers","mrbshowers.com","mrbshowers.com","Prospect","","Working","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Bergen Catholic High School","bergencatholic.org","bergencatholic.org","Prospect","","Opportunity","B84: Alumni Associations","B: Education","Education related Org - General","Education","Education - General","-"
"TheFamilyCenter","bbbschattvalley.org","bbbschattvalley.org","Prospect","","Meeting Lost","O20: Youth Centers, Boys and Girls Clubs","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","-"
"Urban Empact","urbanempact.org","urbanempact.org","Prospect","","Opportunity","W00: Public Policy, Public Services Institutions: General","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Gemini Trust Company","gemini.com","gemini.com","Prospect","","Responded","W60: Financial Institutions, Credit Unions","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","-"
"STWN","stwn.org","stwn.org","Prospect","","Working","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"Bethesda Foundation","bethesdawillmar.com","bethesdawillmar.com","Customer","Churned","Partial Churn","P70: Residential, Custodial Care (Group Home)","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","-"
"Rafi","rafi.ph","rafi.ph","Prospect","","Responded","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","-"
"Bike Club OKC","bikeclubokc.com","bikeclubokc.com","Prospect","","Opportunity","N60: Amateur Sports Clubs, Leagues","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","-"
"Testing 123","testing123.com","testing123.com","Prospect","","Nurture","U40: Engineering and Technology Research, Services","U: Science and Technology","Science & Technology Research Institutes, Services - General","Science & Technology","Science & Technology - General","-"
