Account Name,Account ID,Account Tier (Volume File),TIER (Religious Subset),Total Donation Volume $,Matched Volume Account Name,Match Type,Religious Match Reason
Mission Local,AKXAJEJH,Tier 4 ($10K–$20K),TIER 3,"$331,046",Mission Local,exact,Account Name: mission
God TV,AYDQYGVS,Tier 4 ($10K–$20K),TIER 4,"$328,439",God TV,exact,NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
United Women in Faith,AVYFCBDN,Tier 2 ($50K–$100K),TIER 5,"$328,135",United Women in Faith,exact,Account Name: faith; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Lillian and Albert Small Capital Jewish Museum,ABTKDNVE,Tier 5 ($5K–10K),TIER 5,"$316,494",Lillian And Albert Small Capital Jewish Museum,normalized,Account Name: jewish
Ron Cantor,AMDPPTUU,,-,"$306,425",Ron Cantor,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Memphis Islamic Center,ATNQTFDX,,TIER 4,"$306,200",Memphis Islamic Center,exact,Account Name: islam; Account Name: islamic
Family Promise of Spokane,ONGFMXHZ,Tier 5 ($5K–10K),TIER 6,"$285,054",Family Promise of Spokane,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Al Isharah,ABUTHCMZ,Tier 6 (<$5K),TIER 5,"$284,038",Al Isharah,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic
Kingdom Rain,ASFJMTYR,Tier 6 (<$5K),TIER 5,"$278,130",Kingdom Rain,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Mike Signorelli Ministries,ATSNCDWC,Tier 6 (<$5K),TIER 5,"$275,303",Mike Signorelli Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Young Muslims,ANFPRBST,Tier 6 (<$5K),TIER 6,"$261,990",Young Muslims,exact_multi_pick_max_volume_2,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
St. John's Ministries,ASLSXJES,Tier 5 ($5K–10K),TIER 5,"$252,174",St. John's Ministries,exact,Account Name: ministries
Jewish Family Services Vancouver,ADZBBLSK,Tier 6 (<$5K),TIER 4,"$251,421",Jewish Family Services Vancouver,exact,Account Name: jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish
Israel Religious Action Center,APZPRXTX,Tier 6 (<$5K),TIER 5,"$245,849",Israel Religious Action Center,exact,Account Name: religious
Heart of the Bride Ministries,AACSFGNL,Tier 5 ($5K–10K),TIER 5,"$237,372",Heart of the Bride Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): catholic; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Circuit Riders,AWVCLFKC,Tier 5 ($5K–10K),TIER 5,"$229,834",Circuit Riders,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
The Send,AWWWUEDL,Tier 4 ($10K–$20K),TIER 6,"$226,626",The Send,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
American Jewish University,AGUNXJTK,Tier 4 ($10K–$20K),TIER 5,"$209,185",American Jewish University,exact,Account Name: jewish
Plum Village UK,AXPJLFAK,Tier 4 ($10K–$20K),TIER 6,"$202,654",Plum Village UK,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: religion
CHANGED Movement,ABLRXLFL,,-,"$199,330",CHANGED Movement,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Friends of Agape,ALJSUMEE,Tier 3 ($20K–$50K),TIER 6,"$198,448",Friends of Agape,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Community Peacemaker Teams,AXVLQXBQ,Tier 6 (<$5K),TIER 5,"$197,422",Community Peacemaker Teams,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Desire Street Ministries,ABREENTP,Tier 5 ($5K–10K),TIER 6,"$195,629",Desire Street Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Generation Rising,AHZGFMPV,Tier 4 ($10K–$20K),TIER 5,"$194,833",Generation Rising,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
St. Marcus,AWNQZQDG,Tier 3 ($20K–$50K),TIER 5,"$194,413",St. Marcus,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Trinity Rescue Mission,ABKLWCBV,Tier 6 (<$5K),TIER 6,"$191,421",Trinity Rescue Mission,exact,Account Name: mission
Guidelines International Ministries,ASKZRLUS,Tier 6 (<$5K),TIER 5,"$190,377",Guidelines International Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Engage Your Destiny,AQJCTHTG,Tier 6 (<$5K),TIER 5,"$180,216",Engage Your Destiny,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Ruth and Naomi's Mission,AQVNNVZC,Tier 6 (<$5K),TIER 5,"$178,650",Ruth and Naomi's Mission,exact,Account Name: mission
Association of the Miraculous Medal,AMKVXYLE,Tier 3 ($20K–$50K),TIER 4,"$175,097",Association of the Miraculous Medal,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aishel House,AEZWWTHG,Tier 4 ($10K–$20K),TIER 6,"$173,881",Aishel House,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Jennifer LeClaire Ministries,ALDRHZQU,Tier 6 (<$5K),TIER 6,"$167,147",Jennifer LeClaire Ministries,exact,Account Name: ministries
Jewish Big Brothers Big Sisters of Los Angeles,AVMNGDTU,Tier 6 (<$5K),TIER 6,"$151,028",Jewish Big Brothers Big Sisters of Los Angeles,exact,Account Name: jewish
Chayenu,ADGQGGSZ,Tier 6 (<$5K),TIER 6,"$150,373",Chayenu,exact,NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Hope Gospel Mission,AWXLEGBE,Tier 6 (<$5K),TIER 5,"$140,464",Hope Gospel Mission,exact,Account Name: gospel; Account Name: mission
Dare for More,ALMRZMEX,Tier 6 (<$5K),TIER 6,"$138,283",Dare for More,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
China Partnership,AMNHTKVP,,TIER 6,"$136,294",China Partnership,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
The Episcopal Church,APGZAWHR,Tier 3 ($20K–$50K),TIER 4,"$135,641",The Episcopal Church,exact,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Petros Network,ABXAPFAP,Tier 5 ($5K–10K),TIER 4,"$127,303",Petros Network,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Cathedral City Senior Center,ACPHAQUT,Tier 6 (<$5K),TIER 6,"$125,353",Cathedral City Senior Center,exact,Account Name: cathedral
Muslim American Society,AJWESWNM,Tier 6 (<$5K),TIER 6,"$124,275",Muslim American Society,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Ignatius Press,AUTMVMEX,Tier 6 (<$5K),TIER 6,"$120,763",Ignatius Press,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Excellencies of Christ Ministries,ARUMCCTP,Tier 6 (<$5K),TIER 6,"$113,254",Excellencies of Christ Ministries,exact,Account Name: ministries; Account Name: christ; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Jewish Family Services of Washtenaw County,APECYLUB,Tier 5 ($5K–10K),TIER 5,"$113,008",Jewish Family Services of Washtenaw County,exact,Account Name: jewish
Bethlehem University Foundation,AMYHKBYX,Tier 5 ($5K–10K),TIER 6,"$108,276",Bethlehem University Foundation,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Alex McFarland Ministries,AEKNKCEA,Tier 6 (<$5K),TIER 6,"$107,037",Alex McFarland Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Kenneth Copeland Ministries Canada,ACZWGJGS,Tier 5 ($5K–10K),TIER 4,"$104,760",Kenneth Copeland Ministries Canada,exact,Account Name: ministries
Maahad Tahfiz Mumtazatut Taqwa,AKLZPDJN,Tier 6 (<$5K),TIER 6,"$101,820",Maahad Tahfiz Mumtazatut Taqwa,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Zola Levitt Ministries,AFEACUFR,Tier 3 ($20K–$50K),TIER 4,"$101,424",Zola Levitt Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
All People Free,AXQYJBJH,Tier 6 (<$5K),TIER 6,"$94,601",All People Free,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
SWAT Ministries,AXFQBDLL,,TIER 5,"$93,664",SWAT Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): religious
Combat Control Foundation,AKQHXSBQ,Tier 5 ($5K–10K),TIER 6,"$90,824",Combat Control Foundation,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Remember Jerusalem,ADPDHBPD,Tier 6 (<$5K),TIER 6,"$89,823",Remember Jerusalem,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
African Enterprise,NLEYGRKF,Tier 6 (<$5K),TIER 6,"$83,784",African Enterprise,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Hira Institute,AZGRVNCA,,TIER 6,"$82,876",Hira Institute,exact_multi_pick_max_volume_2,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
The Mission Co,AYUFNHSW,Tier 6 (<$5K),TIER 6,"$81,725",The Mission Co,exact,Account Name: mission; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Chabad Intown,ACGEKDSP,Tier 6 (<$5K),TIER 6,"$80,864",Chabad Intown,exact,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Darul Wahi,ARBEPDMR,,-,"$80,140",Darul Wahi,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Boise Bible College,ADUCWTRC,Tier 6 (<$5K),TIER 6,"$79,668",Boise Bible College,exact,Account Name: bible
Puertas De Amor,AQPHLFKT,,TIER 6,"$78,632",Puertas De Amor,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Living Faith Discipleship Ministries,AWCPNRWM,Tier 6 (<$5K),TIER 6,"$74,187",Living Faith Discipleship Ministries,exact,Account Name: faith; Account Name: ministries
Sisters of St. Joseph of Orange,ACBCDKXP,,TIER 6,"$70,697",Sisters of St. Joseph of Orange,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
MyCentre,AADYNDUM,,TIER 5,"$66,426",MyCentre,exact,NTEE Code (Map to Sub Sectors): religious
The Christian Chronicle,AUEPKQJK,Tier 5 ($5K–10K),TIER 6,"$64,087",The Christian Chronicle,exact,Account Name: christian; Account Name: christ; NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Not My Will Ministries,AXTXRWNU,Tier 6 (<$5K),TIER 6,"$63,080",Not My Will Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Solid Rock Mission,ASAKEVHG,,TIER 6,"$61,257",Solid Rock Mission,exact,Account Name: mission; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Trinity Christian Academy of Jacksonville,AWKECUHQ,Tier 6 (<$5K),TIER 6,"$61,018",Trinity Christian Academy of Jacksonville,exact,Account Name: christian; Account Name: christ
Compassion to Action,AXJKPDJF,,TIER 6,"$59,541",Compassion to Action,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Maui Rescue Mission,ARQPRYRZ,Tier 5 ($5K–10K),TIER 6,"$59,209",Maui Rescue Mission,exact,Account Name: mission
Women's Audio Mission,AZJQPEPX,Tier 6 (<$5K),TIER 6,"$59,078",Women's Audio Mission,exact,Account Name: mission
Kingdom Causes Inc,ALXRWGQK,Tier 6 (<$5K),TIER 6,"$56,539","Kingdom Causes, Inc.",normalized,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
YEHUDI,AWYQKXEL,Tier 2 ($50K–$100K),TIER 6,"$55,867",YEHUDI,exact,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
BW Foundation,ASFTLSLH,Tier 6 (<$5K),TIER 6,"$55,832",BW Foundation,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
St. Mary's Springs Academy,AXFLUQTG,Tier 6 (<$5K),TIER 6,"$53,973",St. Mary's Springs Academy,exact,NTEE Code (Map to Sub Sectors): religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Citychurch Outreach Ministry,AECFDSSY,,TIER 5,"$53,268",Citychurch Outreach Ministry,exact,Account Name: ministry; Account Name: church
Muslim Cultural Heritage Centre,AVGJEEKE,Tier 6 (<$5K),TIER 6,"$52,760",Muslim Cultural Heritage Centre,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic
Meher Mount,AJQSYBUB,Tier 6 (<$5K),TIER 6,"$52,497",Meher Mount,exact,NTEE Code (Map to Sub Sectors): buddhist; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Islamic Society Of Vaughan,AKFUZNJP,Tier 3 ($20K–$50K),TIER 6,"$52,287",Islamic Society of Vaughan,normalized,Account Name: islam; Account Name: islamic; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
KHOL Jackson Hole Community Radio,ABFLNLJN,Tier 6 (<$5K),TIER 6,"$51,799",KHOL - Jackson Hole Community Radio,normalized,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Faith Hope & Love Ministries,AQMRWCGP,,TIER 6,"$51,782",Faith Hope & Love Ministries,exact,Account Name: faith; Account Name: ministries
Kedma,AZAUZEBF,,TIER 6,"$51,631",Kedma,exact,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
New Life Ranch,ATEWPURW,Tier 4 ($10K–$20K),TIER 3,"$46,634",New Life Ranch,exact,NTEE Code (Map to Sub Sectors): religious
St. Peter's Church,ARRUQQEB,,TIER 6,"$45,713",St. Peter's Church,exact,Account Name: church
Whole Word Institute (formerly 4.2.20 Foundation),ALJSJNRV,Tier 4 ($10K–$20K),TIER 6,"$45,481",Whole Word Institute (formerly 4.2.20 Foundation),exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Divine Mother Center,AEFUZUSK,,TIER 6,"$44,617",Divine Mother Center,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Stadia,AYLZYUQS,,TIER 6,"$44,561",Stadia,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: religion
Muslim Youth Helpline,ASCRWULH,Tier 6 (<$5K),TIER 6,"$41,212",Muslim Youth Helpline,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic
Friendship Circle International,AWVAAHGM,Tier 4 ($10K–$20K),TIER 6,"$38,867",Friendship Circle International,exact,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Voice of Hope,AURFEPWW,Tier 5 ($5K–10K),TIER 6,"$38,694",Voice of Hope,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Broome Street Ganesha Temple,AHTBWKAZ,Tier 5 ($5K–10K),TIER 6,"$37,700",Broome Street Ganesha Temple,exact,Account Name: temple; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Journey U,AUEFHRQG,Tier 6 (<$5K),TIER 6,"$31,151",Journey U,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Jen Miskov Ministries,AJQGCNCT,Tier 6 (<$5K),TIER 6,"$30,974",Jen Miskov Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Orthodox Volunteer Corps,AHNKAKPN,,TIER 6,"$30,433",Orthodox Volunteer Corps,exact,Account Name: orthodox
Kingdom Come Ministries,AFYLAAMD,,TIER 6,"$30,405",Kingdom Come Ministries,exact,Account Name: ministries; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
