account_id,account_name,match_source,ntee_code,fru_sector,fru_subsector
ABGTUTCR,The Grove Retreat,unclassified,,,
ACDJYDYT,Nimruz,id,A23,Arts & Culture,Arts & Culture - General
AQHCVVHK,Worthy People,id,I31,Religion,Religion - Christian
AZKYTWXS,Socios En Salud,unclassified,,,
AHNUUMAP,Ayin Press,unclassified,,,
AEZWPAND,Community Outreach and Patient Empowerment Program,id,E19,,
ALWKFHNL,Innovation Bridge Foundation,unclassified,,,
AVHXLZVA,Fundación Patas Arriba,unclassified,,,
AMMWUPWK,H.U.S.T.L.E. Recovery,unclassified,,,
AJPNKGXU,Speak Life Performing Arts Company Inc,id,O50,,
ASYWECDT,The Way 2 Serve Ministries,unclassified,,,
AEPMERZU,Sankofa,id,"A23: Cultural, Ethnic Awareness",Arts & Culture,Arts & Culture - General
ARKEQKJY,ALTSO UK,unclassified,,,
APQCGHFE,The James Madison Institute,id,W20: Government and Public Administration,Public and Society Benefit,Public & Society Benefit - General
AJNJUSQB,Kinderbijbelclubs.nl,unclassified,,,
ABQXEMWH,Sidewalk Poets,unclassified,,,
ACKGVAER,Shear Existence,unclassified,,,
AKSECGHV,Variety - the Children’s Charity of the Desert,unclassified,,,
ALPJXRQG,Wounded Heroes,id,P20,Human Services,Human Services - General
ASCAJLDC,The Vegetable Connection,id,K30,Food & Nutrition,Food Banks
AMFBCZUB,Central Park Conservancy,id,N320,Human Services,Human Services - Sports & Youth Development
AFLMAGDL,More Than a Roof Foundation,unclassified,,,
ATJGPDQR,The Pink Berets,id,W30,Public and Society Benefit,Public & Society Benefit - General
AJMTLYSD,Fair America,id,S01,,
AHKHCGKL,Bondh-E-Shams UK,unclassified,,,
ABJFKNFX,Growth Educational Trust,unclassified,,,
AKCLXGFW,Three Squares New England,id,K12,Food & Nutrition,Food Banks
AZVBNGQU,Greenpeace Malaysia,unclassified,,,
AZDYUKVV,Colorado Center for Civic Learning and Engagement,unclassified,,,
AVJZKJDE,Leilani Health,id,"E32: Ambulatory Health Center, Community Clinic",Healthcare,Healthcare - General
AHTHJKTN,Jalen Hurts Foundation,id,O50,,
ARFUCZDQ,Grace Medical Outreach Ministry,id,E60,,
AZWGLYDS,Downtown Dallas Parks Conservancy,id,S31,,
AUEFHRQG,Journey U,id,X20: Christian,Religion,Religion - Christian
AJDXEKSV,Street Soccer USA - NY,unclassified,,,
AGNLGZUR,Overflowing Ministries,id,X20,Religion,Religion - Christian
ACNYXTNW,The Junction Retreat,unclassified,,,
AMFNPCGM,LA Recovery Connect,id,,Healthcare,"Healthcare - Mental Health, Abuse"
ABSRCXDV,Starts With One Today,id,"K30: Food Service, Free Food Distribution Programs",Food & Nutrition,Food Banks
APKQWQMP,Lavender League,id,N64,Human Services,Human Services - Sports & Youth Development
AWCLVUYJ,PrevenCasa,unclassified,,,
AGPQTESY,Sierra Club Wisconsin Chapter,unclassified,,,
ABMAPVZB,Sol-Power Africa,id,,Environment,Environment - General
AQMZSULY,Power Pump Girls,id,"W00: Public Policy, Public Services Institutions: General",Public and Society Benefit,Public & Society Benefit - General
ASRVTQRN,"Favor International, Inc.",id,Q33,International Affairs,International Affairs - General
ACJXCEYX,Kidvation Global,id,B90,,
AHTRPMHA,Catholic Music Initiative,id,X80,Religion,Religion - General
