account_id,account_name_2025,account_name_2024,cohort_2025,in_2024_all_accounts,gpv_2024_usd,gpv_2025_usd,delta_2025_vs_2024_usd,yoy_2025_vs_2024_pct,account_tier_2025,religious_tier_2025,match_type,religious_match_reason
ACBBQBMS,Mel Trotter Ministries,Mel Trotter Ministries,legacy_2025,yes,1763548.00,1805344.00,41796.00,2.37,Tier 3 ($20K–$50K),TIER 2,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ACNDRTRS,Vladimir Savchuk Ministries,Vladimir Savchuk Ministries,legacy_2025,yes,1431532.00,1644844.00,213312.00,14.90,Tier 3 ($20K–$50K),TIER 3,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ACCWABLW,The Gospel Coalition,The Gospel Coalition,legacy_2025,yes,1495948.00,1637072.00,141124.00,9.43,Tier 3 ($20K–$50K),TIER 3,exact,Account Name: gospel; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ADHHWQDV,Los Angeles Mission,,new_2025,no,0.00,1532134.00,1532134.00,,Tier 3 ($20K–$50K),TIER 1,exact,Account Name: mission
ABBUGUKC,Filter of Hope,Filter of Hope,legacy_2025,yes,1078312.00,1519915.00,441603.00,40.95,Tier 3 ($20K–$50K),TIER 3,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ARHXXBJG,MAZON: A Jewish Response to Hunger,,new_2025,no,0.00,1514532.00,1514532.00,,Tier 5 ($5K–10K),TIER 2,exact,Account Name: jewish; NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
ACKQVTRX,Siloam Mission,Siloam Mission,legacy_2025,yes,1425084.00,1495696.00,70612.00,4.95,Tier 2 ($50K–$100K),TIER 3,exact,Account Name: mission
AXCHDMUW,All Faiths Food Bank,All Faiths Food Bank,legacy_2025,yes,1128505.00,1490113.00,361608.00,32.04,Tier 3 ($20K–$50K),TIER 3,exact,Account Name: faith
AHTNQTYG,Detroit Rescue Mission Ministries,Detroit Rescue Mission Ministries,legacy_2025,yes,813141.00,1468096.00,654955.00,80.55,Tier 3 ($20K–$50K),TIER 3,exact,Account Name: ministries; Account Name: mission
AAPLWWEJ,Americans United for Separation of Church and State,,new_2025,no,0.00,1324813.00,1324813.00,,Tier 3 ($20K–$50K),TIER 2,normalized,Account Name: church
APWTJEJZ,Water Street Mission,,new_2025,no,0.00,1292306.00,1292306.00,,Tier 3 ($20K–$50K),TIER 2,exact,Account Name: mission
AATDZMPP,Shrine of Our Lady of Guadalupe,Shrine of Our Lady of Guadalupe,legacy_2025,yes,388425.00,1266417.00,877992.00,226.04,Tier 3 ($20K–$50K),TIER 2,exact,NTEE Code (Map to Sub Sectors): catholic; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AAZPEMCE,Catholic Mission,,new_2025,no,0.00,1181786.00,1181786.00,,Tier 3 ($20K–$50K),TIER 2,exact,Account Name: catholic; Account Name: mission; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
ALLMLWUX,Miftaah Institute,Miftaah Institute,legacy_2025,yes,323354.00,1179317.00,855963.00,264.71,Tier 3 ($20K–$50K),TIER 3,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
AWDZXPTL,Al Furqaan Foundation,Al-Furqaan Foundation,legacy_2025,yes,489936.00,1121408.00,631472.00,128.89,Tier 3 ($20K–$50K),TIER 3,normalized,NTEE Code (Map to Sub Sectors): islam; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
AMSBCQXZ,Bible League Canada,Bible League Canada,legacy_2025,yes,794324.00,1114189.00,319865.00,40.27,Tier 4 ($10K–$20K),TIER 3,exact,Account Name: bible; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ABMQCSVC,International Justice Mission Australia,International Justice Mission Australia,legacy_2025,yes,601086.00,1106568.00,505482.00,84.09,Tier 6 (<$5K),TIER 3,exact,Account Name: mission
ADEQBZGW,Restore7,Restore7,legacy_2025,yes,2604014.00,1099999.00,-1504015.00,-57.76,Tier 4 ($10K–$20K),TIER 3,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AYDTFZLP,Hope Channel International,Hope Channel International,legacy_2025,yes,928397.00,1076376.00,147979.00,15.94,Tier 3 ($20K–$50K),TIER 3,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AYGHQZZH,The Lady Fatemah (a.s.) Charitable Trust,The Lady Fatemah (A.S.) Charitable Trust,legacy_2025,yes,937975.00,1006837.00,68862.00,7.34,Tier 3 ($20K–$50K),TIER 3,normalized,Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion
AGMQWWLR,International Justice Mission UK,International Justice Mission UK,legacy_2025,yes,679188.00,1006162.00,326974.00,48.14,Tier 4 ($10K–$20K),TIER 3,exact,Account Name: mission
APJFPDAZ,Rockford Rescue Mission,Rockford Rescue Mission,legacy_2025,yes,491032.00,976119.00,485087.00,98.79,Tier 3 ($20K–$50K),TIER 3,exact,Account Name: mission
AVMBACCQ,Tacoma Rescue Mission,,new_2025,no,0.00,915561.00,915561.00,,Tier 3 ($20K–$50K),TIER 2,exact,Account Name: mission
AVLBCSVQ,South America Mission,,new_2025,no,0.00,895753.00,895753.00,,,TIER 3,exact,Account Name: mission; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ATYZDJCV,Generals International,Generals International,legacy_2025,yes,871944.00,884292.00,12348.00,1.42,Tier 4 ($10K–$20K),TIER 4,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AKQXPPEN,Institute of Catholic Culture,Institute of Catholic Culture,legacy_2025,yes,242191.00,813181.00,570990.00,235.76,Tier 3 ($20K–$50K),TIER 3,exact,Account Name: catholic; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AGEBSDZJ,Tikkun International,Tikkun International,legacy_2025,yes,1078421.00,797931.00,-280490.00,-26.01,Tier 4 ($10K–$20K),TIER 3,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AQJDGZDY,Sacred Road Ministries,Sacred Road Ministries,legacy_2025,yes,685144.00,787979.00,102835.00,15.01,Tier 4 ($10K–$20K),TIER 4,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ANSRXGKF,Muslim Public Affairs Council,Muslim Public Affairs Council,legacy_2025,yes,815209.00,780563.00,-34646.00,-4.25,Tier 4 ($10K–$20K),TIER 4,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
AUDDCMDQ,Auckland City Mission,Auckland City Mission,legacy_2025,yes,407031.00,773357.00,366326.00,90.00,,TIER 3,exact,Account Name: mission
AALQSFNM,NDW Ministries,NDW Ministries,legacy_2025,yes,609098.00,772059.00,162961.00,26.75,Tier 6 (<$5K),TIER 4,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AMMBDGWA,Jewish News Service,Jewish News Service,legacy_2025,yes,324506.00,724719.00,400213.00,123.33,Tier 4 ($10K–$20K),TIER 3,exact,Account Name: jewish; NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
AUMSGFBR,Orchard Group,Orchard Group,legacy_2025,yes,621563.00,720107.00,98544.00,15.85,Tier 4 ($10K–$20K),TIER 4,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ADJWJEGV,Terri Savelle Foy Ministries,,new_2025,no,0.00,700718.00,700718.00,,Tier 5 ($5K–10K),TIER 2,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AHJHKGES,Orlando Union Rescue Mission,,new_2025,no,0.00,669183.00,669183.00,,Tier 4 ($10K–$20K),TIER 2,exact,Account Name: mission
ASUHKUUR,Global Disciples USA,Global Disciples USA,legacy_2025,yes,527661.00,645164.00,117503.00,22.27,Tier 3 ($20K–$50K),TIER 4,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ABPHKJZB,Mission Services of London,Mission Services of London,legacy_2025,yes,339174.00,634824.00,295650.00,87.17,Tier 4 ($10K–$20K),TIER 3,exact,Account Name: mission
ACKHVURD,American Jewish World Service,,new_2025,no,0.00,607591.00,607591.00,,Tier 3 ($20K–$50K),TIER 3,exact,Account Name: jewish
ASRLDJSW,The KSIMC of London,The KSIMC of London,legacy_2025,yes,597915.00,606907.00,8992.00,1.50,Tier 3 ($20K–$50K),TIER 4,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic
AAELSEAV,New Gate to Peace Foundation,New Gate to Peace Foundation,legacy_2025,yes,430566.00,571741.00,141175.00,32.79,Tier 3 ($20K–$50K),TIER 4,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AQGBETLX,Club Beyond,Club Beyond,legacy_2025,yes,199452.00,567599.00,368147.00,184.58,Tier 4 ($10K–$20K),TIER 4,exact,NTEE Code (Map to Sub Sectors): religious
AFHJXCRS,Souls Harbour Rescue Mission,,new_2025,no,0.00,561230.00,561230.00,,,TIER 2,exact,Account Name: mission
AYNDZCRW,Christian Leaders,Christian Leaders,legacy_2025,yes,382535.00,556398.00,173863.00,45.45,Tier 4 ($10K–$20K),TIER 3,exact,Account Name: christian; Account Name: christ
ATVSCLYF,Hindu American Foundation,Hindu American Foundation,legacy_2025,yes,510127.00,556394.00,46267.00,9.07,Tier 6 (<$5K),TIER 5,exact,Account Name: hindu
ARECLFZF,Office of Adventist Mission,,new_2025,no,0.00,544953.00,544953.00,,Tier 1 ($100K+),TIER 4,exact,Account Name: mission; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion
AFCCHWSR,CCEF (Christian Counseling & Educational Foundation),CCEF (Christian Counseling & Educational Foundation),legacy_2025,yes,559411.00,543109.00,-16302.00,-2.91,Tier 3 ($20K–$50K),TIER 4,exact,Account Name: christian; Account Name: christ
AQMFMHFQ,Northside Islamic Center of San Antonio,NORTHSIDE ISLAMIC CENTER OF SAN ANTONIO,legacy_2025,yes,487997.00,521441.00,33444.00,6.85,Tier 4 ($10K–$20K),TIER 4,normalized,Account Name: islam; Account Name: islamic; NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
AAFCRQQA,Kelowna's Gospel Mission,Kelowna's Gospel Mission,legacy_2025,yes,537379.00,517211.00,-20168.00,-3.75,Tier 4 ($10K–$20K),TIER 4,exact,Account Name: gospel; Account Name: mission; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion
ARYSNFJP,Jaco Booyens Ministries,Jaco Booyens Ministries,legacy_2025,yes,217321.00,506130.00,288809.00,132.90,Tier 4 ($10K–$20K),TIER 4,exact,Account Name: ministries
ASJZNSZT,Victory Mission + Ministry,Victory Mission + Ministry,legacy_2025,yes,387131.00,500577.00,113446.00,29.30,Tier 5 ($5K–10K),TIER 4,exact,Account Name: ministry; Account Name: mission
AXRJGJPD,IslamInSpanish,IslamInSpanish,legacy_2025,yes,437321.00,483712.00,46391.00,10.61,Tier 4 ($10K–$20K),TIER 5,exact,Account Name: islam; NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
AQHNJYYB,St. John Cantius,St. John Cantius,legacy_2025,yes,424342.00,476547.00,52205.00,12.30,Tier 3 ($20K–$50K),TIER 3,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AEABUTKY,Islam by Touch,Islam by Touch,legacy_2025,yes,259271.00,463161.00,203890.00,78.64,,TIER 3,exact,Account Name: islam; NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
AJDNZNSF,mosquée de cachan,Mosquée de cachan,legacy_2025,yes,174966.00,456842.00,281876.00,161.10,Tier 6 (<$5K),TIER 3,normalized,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
AZSZQLPZ,Matt Sorger Ministries,Matt Sorger Ministries,legacy_2025,yes,449367.00,449659.00,292.00,0.06,Tier 4 ($10K–$20K),TIER 4,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AHCRSECF,Paula White Ministries,,new_2025,no,0.00,427380.00,427380.00,,,TIER 3,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AMWQVAZL,Bible Society Australia,,new_2025,no,0.00,416703.00,416703.00,,,TIER 3,exact_multi_pick_max_volume_2,Account Name: bible; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
AMQJNJCT,Renovaré,Renovaré,legacy_2025,yes,252740.00,407756.00,155016.00,61.33,Tier 4 ($10K–$20K),TIER 4,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AYBZQKZW,Lutheran Bible Translators,,new_2025,no,0.00,406379.00,406379.00,,Tier 4 ($10K–$20K),TIER 3,exact,Account Name: lutheran; Account Name: bible; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ARPNTWCX,Christian Alliance for Orphans,Christian Alliance for Orphans,legacy_2025,yes,367562.00,401500.00,33938.00,9.23,Tier 5 ($5K–10K),TIER 4,exact,Account Name: christian; Account Name: christ
AQVJENRY,Mission Impact,Mission Impact,legacy_2025,yes,349363.00,393072.00,43709.00,12.51,Tier 5 ($5K–10K),TIER 5,exact,Account Name: mission; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ACHTMTHC,Inspiration Ministries,,new_2025,no,0.00,388134.00,388134.00,,Tier 1 ($100K+),TIER 3,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
